claim_id,claim_zh,status_tier,source_path,test_path,run_path,allowed_wording,forbidden_wording
TOKEN-HOTPOT-71,"HotpotQA 实测应答 LLM token 降低（通信收缩主数字）","已实现且已验证","README.md「实验，让机制自己说话」与「赛题维度对照」;SYNAPSE项目说明书.docx §7.2;SYNAPSE作品介绍PPT.pptx 4.2","源代码及readme文档/src/synapse/cli.py（hotpot 子命令）;tests/test_qa.py","runs/hotpot_20260724_214352/result.json（text llm_total 14173 vs synapse 4097 → 71.1%）","71.1%（N=10 点估计，脚本一键复现，run 可溯源）；来源分解见消融","71.09%（与 run 精算 71.12% 不符的旧口径）；不带 N 与口径的『大幅降低』"
TOKEN-MUSIQUE-80,"MuSiQue 应答 LLM token 降低","已实现待扩样","README.md「实验」与「赛题维度对照」;说明书 §7.2;PPT 4.2","源代码及readme文档/src/synapse/cli.py（musique 子命令）","runs/musique_20260724_203011/result.json（6356→1214 → 80.90%，n_items=3）","80.9%（N=3 探索性点估计，扩样至 N≥100 进行中）","80.90% 不带探索性标注；『平均 80%+』等强主张"
QUAL-MUSIQUE-DF1,"MuSiQue 答案质量差值","原型或代理验证","README.md「质量竞争力」（仅指聚合表）;PPT 4.2 表格","源代码及readme文档/src/synapse/qa/scoring.py（多参考重评进行中）","runs/musique_ksweep_20260622_115337/;runs/_eh2_musique.log（N=200 旧平台配对差值 -0.003 [-0.059,+0.055]）","多参考重评后的配对差值与 CI 见聚合表；非劣结论按预注册界限判定","ΔF1=+0.333（N=3 单参考旧口径，已撤下）；任何 MuSiQue 质量提升结论（EH2 实为 WORSE 方向证据）"
WIRE-BYTES-94,"逻辑消息字节降低（进程内 CAS 口径）","已实现且已验证","README.md「通信收缩」;说明书 §7.2;PPT 4.2","源代码及readme文档/src/synapse/eval/metrics.py（wire_bytes 计量）","runs/hotpot_20260724_214352/（59735→3201 → 94.64%）;runs/musique_20260724_203011/（96.45%）","进程内共享 CAS 口径下逻辑消息字节降低 94.6%–96.5%；跨进程 transport 字节经 AF_UNIX 数据平面实测（决赛路线图）","『线缆/跨进程实测』（未实现）；94.64–96.45% 两位小数精度（与 N=10/N=3 点估计精度不匹配）"
RESID-2787-960,"关联任务 5 轮残差载荷收缩","已实现且已验证","README.md「记忆因果性」;说明书 §7.3;PPT 1.3/2.2","源代码及readme文档/src/synapse/stateplane/residual.py;uv run synapse signal","runs/signal_20260724_191435/result.json（2787→1812→1410→1374→960）","2787B→960B（↓65.6%，encoder-oracle 选基口径，理论上界）；三种选基策略对比见分析报告","不带 encoder-oracle 口径的裸数字；表述为任意任务的一般规律"
CAUSAL-976,"载荷收缩的记忆因果归因","已实现且已验证","README.md「记忆因果性」;说明书 §7.3;PPT 1.3","uv run synapse signal --no-memory（消融开关）","runs/signal_20260724_191435/（完整 65.6%）;runs/signal_20260724_193555/（no-memory 1.6%）","no-memory 对照显示 97.6% 的载荷收缩与记忆可用性相关（因果对照设计，关联任务口径）","『97.6% 由记忆导致』的普适因果表述；外推到真实业务"
VLC-16-16,"受损注入下失配检出与静默损坏拦截","已实现且已验证","README.md「可靠协作」;说明书 §7.4;PPT 2.3","源代码及readme文档/src/synapse/modes/synapse_mode.py（VLC 校验回退）","runs/verified_lossy_20260622_180609/result.json（严重失配 detection_rate=1.0、silent_with_checksum=0）","受控注入下预测基严重失配检出 16/16、0 漏报（轻度 12/16 按阈值判真实受损）；传输完整性 checksum 收发端校验","『静默损坏为 0』的无限定表述；离开受控注入语境的可靠性保证"
DRIFT-AUC-1,"残差信号漂移检测 AUC","原型或代理验证","README.md「意外发现」;说明书 §7.4;PPT 2.2","源代码及readme文档/scripts/（漂移检测分析）","runs/drift_detect_20260622_170916/（8+8 受控样本）","8+8 受控合成样本、单 seed 下漂移检测 AUC=1.0（机制验证）；真实任务泛化列为下一里程碑","AUC=1.0 不带受控样本限定；『生产级异常检测』；PPT 旧图 AUC=0.942/0.812（无 run 溯源，已替换为残差 1.0 / 检索 0.227 口径）"
COQA-HIT-921,"CoQA 会话记忆命中率","已实现且已验证","README.md「记忆复用效果」;说明书 §7.2 表;PPT 4.2 表","源代码及readme文档/src/synapse/qa/pipeline.py（memory_queries/hits 计量）","runs/coqa_20260724_211318/result.json（synapse hit_rate=0.921，38 轮）","CoQA 会话历史可复用覆盖率 0.921（top-k 检索命中口径）；top-k 精确命中率与其质量收益分列报告","『记忆准确率 92.1%』；与答案质量混同的单口径表述"
COQA-TOKEN-10,"CoQA 应答 token 节省","已实现且已验证","说明书 §7.2;PPT 4.2","源代码及readme文档/src/synapse/cli.py（coqa 子命令）","runs/coqa_20260724_211318/result.json（llm_token_saved_pct=10.65，wire 87.89%）","CoQA token ↓10.7%、wire bytes ↓87.9%（38 轮长对话点估计）；连续对话可压缩上下文比例低","与多文档任务同表比较时不注明任务结构差异"
